"CO_IES","NO_IES","SG_IES","CO_CATEGAD","CO_ORGACAD"
11,"","",10008,10028
144,"","",10008,10022
160,"","",10008,10022
409,"","",115,10028
410,"","",10008,10022
580,"","",10002,10028
587,"","",10002,10028
663,"","",120,10028
685,"","",10003,10022
702,"","",10003,10022
704,"","",10003,10022
1077,"","",10005,10020
1255,"","",10005,10020
1328,"","",10008,10022
1675,"","",121,10022
1676,"","",10005,10020
1697,"","",10008,10020
1708,"","",10005,10022
1709,"","",10005,10020
1775,"","",10005,10020
1805,"","",118,10020
1809,"","",93,10026
1944,"","",10005,10022
2242,"","",10005,10022
2409,"","",10008,10020
2835,"","",10005,10020
3146,"","",10008,10022
3161,"","",93,10026
3515,"","",10007,10022
3615,"","",120,10022
3631,"","",10008,10022
3881,"","",10005,10022
3984,"","",10002,10028
4118,"","",10005,10020
4700,"","",10005,10022
4702,"","",10005,10020
4858,"","",116,10022
14002,"","",118,10022
14717,"","",10005,10022
15669,"","",10003,10022
18023,"","",10005,10022
